item_id,case_id,sent_idx,sentence,attributed_chunk,grade_A_fully,grade_B_partly,grade_C_topical,grade_D_not,annotator_grade,notes
102,row4820::4820,0,"Tyler's Donuts is a restaurant located at 1002 Casitas Pass Rd in Carpinteria, CA.","{'name': ""Tyler's Donuts"", 'address': '1002 Casitas Pass Rd', 'city': 'Carpinteria', 'state': 'CA', 'categories': 'Restaurants, Donuts, Food, Coffee & Tea', 'hours': {'Monday': '5:0-20:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': None, 'OutdoorSeating': None, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': None, 'Music': None, 'Ambience': None}, 'business_stars': 4.0, 'review_info': [{'review_stars': 1.0, 'review_date': '2021-10-27 03:09:32', 'review_text': ""Bad very bad servise the old lady to rude I left without  my  daily",,,,,A,
103,row7522::7522,3,Their hours of operation are Monday through Saturday from 7:00 am to 2:00 pm.,"{'name': 'Harbor Meat & Seafood', 'address': '215 Helena Ave', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Seafood, Food, Specialty Food, Meat Shops, Restaurants, Seafood Markets', 'hours': {'Monday': '7:0-14:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0', 'Saturday': '7:0-14:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': False, 'WiFi': None, 'RestaurantsTakeOut': False, 'RestaurantsGoodForGroups': False, 'Music': None, 'Ambience': None}, 'business_stars': 5.0, 'review_info': [{'review_stars': 5.0, 'review_date': '2020-10-01 20:40:13', 'review_text': 'The food here is amazing.  The people who work here ",,,,,A,
104,row803::803,2,Prosecutors allege that Moschetto sought to have the doctor attacked or killed due to a professional dispute.,"During the course of the undercover operation, however, Moschetto also sold the officers two semiautomatic assault weapons as well as ammunition, prosecutors said. Moschetto allegedly told officers during one buy that he needed dynamite to ""blow up a building."" He later said he no longer needed the dynamite because a friend was setting fire to the building instead. Kalamaras and Chmela are believed to have taken part in the arson, according to prosecutors. ""The fire damaged but did not destroy the office of another cardiologist whose relationship with Dr. Moschetto had soured due to a professional dispute,"" according to the statement from the district attorney's office.",,,,,B,
105,row14223::14223,3,"The tool allows backing up all user files in a single task, including documents, settings, and email messages (Passage 2).","The Windows XP backup tool allows backing up all user files in just one task. If you select the option of the My Documents backup, it will copy the entire contents of the Documents and Settings folder including MS Outlook/Outlook Express messages and settings as well as your profile settings.ips. 1  The farthest location Windows XP backup tool suggests is a network drive or an external drive.",,,,,A,
106,row4104::4104,0,"During the filming of a documentary on bison, a buffalo was struck by lightning in Colorado, leading to her death and the subsequent killing of her calf by local predators.","In the video a bison cow is struck by lightning when a highly needed thunderstorm rolls in across the front range. The bison's calf, left unprotected, is subsiquently killed by local predators. Interestingly the bison is not palatable to predators after the lightening strike. What happens with the bison cow?",,,,,B,
107,row10359::10359,2,"Place the chuck roast into the Dutch oven and brown all sides of the meat, about five minutes on each side.","Heat 2 tbsp. of olive oil in a large Dutch oven pot on the stove over medium-high heat. Place the chuck roast into the Dutch oven and brown all sides of the meat, about five minutes on each side. Lift up the chuck roast with a large fork and add the chopped onions to the bottom of the Dutch oven. Set the chuck roast on top.",,,,,A,
108,row14686::14686,6,"(Passage 3)

It is also recommended to use the National Strategies documents to help identify and address writing problems, as mentioned in Passage 2.",4. Integrate core academic area writing at home.  A quick link to National strategies documents aimed at helping teachers identify children's writing problems.,,,,,A,
109,row10896::10896,6,"Bake the cod at 400° for 8 to 10 minutes per inch of thickness or until the breadcrumbs are golden, the flesh turns opaque, and the fish flakes easily with a fork.",Bake the cod for 8 to 10 minutes per inch of thickness or until the flesh turns opaque and flakes easily with a fork. Step 4. Remove the cod from the oven and serve.,,,,,B,
110,row10643::10643,10,Press the bottle upside down on a flat surface to ensure an even edge.,Press the bottle upside down on a flat surface to ensure an even edge. 5. Weave the tip of a strip over the next one and under the next two.,,,,,A,
111,row170::170,0,Nearly 300 schoolgirls were kidnapped by a jihadist group in Nigeria last year.,"One year after it was perpetrated, the kidnapping of nearly 300 schoolgirls by a jihadist group in Nigeria remains a crime almost too horrifying to comprehend: Hundreds of teenaged girls, just finishing school, destined perhaps for significant achievement -- kidnapped, never to be seen again. ""This crime has rightly caused outrage both in Nigeria and across the world,"" the country's President-elect, Muhammadu Buhari, said Tuesday in marking the anniversary. ""Today is a time to reflect on the pain and suffering of the victims, their friends and families. Our thoughts and prayers, and that of the whole Nigerian nation, are with you today."" The girls were abducted on the night of April 14-15, 2014, in the town of Chibok, in northeastern Nigeria, about a two-hour drive from the border with Cam",,,,,A,
112,row1739::1739,2,"The defense showed photographs demonstrating the size difference between the brothers and highlighting Jahar's cooperation with paramedics after his capture, in contrast to Tamerlan's resistance.","""He was yelling, loud, like an 'rrrrrrrr' type of thing. It was like he was trying to get out of the seat belts that were holding him on"" the stretcher. Jahar, on the other hand, was cooperative after his capture hours later -- until a tourniquet was applied too tightly, said paramedic Laura Lee. He responded to questions, giving his date of birth and saying he was allergic to cats. And then he asked a question of his own:. ""Where is my brother?"" The defense showed a series of photographs that demonstrated how the brothers differed in size and age. The younger brother has been portrayed as someone who follows, rather than leads. One of Tamerlan's boxing coaches testified earlier that Jahar followed his brother around ""like a puppy."" The defense asserts that the Boston Marathon bombings nev",,,,,A,
113,row2656::2656,0,Sure!,"The crash wasn't visible from Earth because it occurred on the far side of Mercury. Messenger (an acronym for MErcury Surface, Space ENvironment, GEochemistry, and Ranging) was launched in 2004 and traveled more than 6½ years before it started circling Mercury on March 18, 2011. It was the first spacecraft to orbit the planet closest to the sun. It traveled about 5 billion miles -- a journey that included 15 trips around the sun.",,,,,D,
114,row13216::13216,0,"Based on the given passages, the Berlin Blockade happened because the Soviet Union cut off access from the Allied zones of occupation in West Germany to West Berlin, which was in the Russian zone (what became East Germany), and the Allies had to either surrender West Berlin or supply it by air.","It was a time when the American and British air forces supplied the city of West Berlin with everything it needed to survive -- everything from food to coal.It all had to be flown in.he reason it happened is that the Russians had cut off access from the Allied zones of occupation in West Germany to West Berlin, which was in the Russian zone (what became East Germany). So the Allies had to either surrender West Berlin or they had to supply it by air.",,,,,A,
115,row4980::4980,6,"The pancakes have a unique taste, akin to sourdough batter, and the coffee is described as a ""real cup of Joe"".","The pancakes were a bit different, they tasted as if they were made with a sourdough batter? I could be wrong but regardless the food was really good. 10/10 would recommend. Oh, the coffee is delicious, a real cup of Joe!'}, {'review_stars': 4.0, 'review_date': '2022-01-02 16:51:01', 'review_text': 'Nothing to write home about.",,,,,A,
116,row5708::5708,9,"Some customers found the empanadas over-baked, while others praised the quality of the ingredients used in making them.","The prosciutto was bite-sized so I didn't have to struggle with chewing. That being said, it seemed over-baked - instead of a nice golden color, the empanadas had splotches of dark brown. \n* Caprese: A lot of air in this empanada. Seems like the middle of the pastry didn't rise properly or maybe just not enough filling. For a caprese-inspired empanada, there wasn't much tomato in this one at all.""}, {'review_stars': 5.0, 'review_date': '2021-12-06 05:20:44', 'review_text': 'Delicious food at a fair price!",,,,,B,
117,row4063::4063,0,Attorney General John M.,"Formella, 27 AGs Demand Immigration Policy Fixes; Dems Call It Cynical Posturing CONCORD – Attorney General John M. Formella announced Tuesday that he is joining a coalition of 27 attorneys general in a legal filing demanding the federal government fix unlawful immigration policies and secure the border. “The government’s current border security posture has resulted in more than seven million inadmissible immigrants surging across the border. To date the U.S.",,,,,C,
118,row2146::2146,9,Another issue is the timing of Gray's injuries.,"If you have a more jaded view of law enforcement, you would say it's because they are well-trained, and consequently very skilled at testifying or explaining their use of force. Baltimore Police are suggesting Mr. Gray's injuries occurred after his arrest, while he was being transported back for processing, and that he may not have received proper medical attention. That's not a surprise. In fact, from a liability perspective, this is a good strategic move for the police. It will be harder to hold them liable if Gray's injuries happened after -- not before -- his arrest. Pre-arrest, Gray's ""seizure"" would be judged by a ""reasonableness"" standard, under the Fourth Amendment. However, courts have limited these ""seizures"" to the initial act of seizing the person. Any excessive force claims af",,,,,A,
119,row7722::7722,4,"Based on customer reviews, the patisserie is highly praised for its croissant egg breakfast sandwich and Galette Des Rois (King's Cake), a special dessert for Epiphany.","But I was really blown away this year by their Galette Des Rois (King's Cake) to celebrate Epiphany (January 6). \n\nI've had the traditional Mardi Gras style cake many times, either homemade or store bought. However, Renaud's has really WOWED me with the french style King's Cake!! It's everything I love about french pastries, buttery, light, delicious almond filling!",,,,,B,
120,row5444::5444,1,They offer tours such as wine tours and event planning services such as wedding planning and hotels & travel.,"{'name': ""Bill's Bus"", 'address': '6575 Seville St Isla Vista Ca', 'city': 'Isla Vista', 'state': 'CA', 'categories': 'Tours, Party Bus Rentals, Bus Tours, Wine Tours, Wedding Planning, Hotels & Travel, Event Planning & Services, Nightlife, Bars', 'hours': {'Thursday': '21:30-2:0', 'Friday': '21:30-2:0', 'Saturday': '21:30-2:0'}, 'attributes': {'BusinessParking': None, 'RestaurantsReservations': False, 'OutdoorSeating': False, 'WiFi': 'no', 'RestaurantsTakeOut': None, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}}, 'business_stars': 3.5, 'review_info': [{'review_stars': 1.0, 'review_date': '2019-04-26 06:10:21', 'rev",,,,,A,
